9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
251			KIAA1602										C13ORF1										N4BP2L1	TMED4						NUDT18		NFE2L3						ENSA							TTC7A			OTUB1	
252			ATP13A2										TMEM120A										INF2	C5ORF30						DUS2L		NFE2L2						PRMT10							LOC730358			LOC652541	
253			PIGO										PECI										CNOT6L	PAIP2						LOC642361		YOD1						KCNJ16							CSGALNACT2			SLC39A6	
254			SULT1A3										ZHX2										AP3S1	ANKRD49						ADCK2		C12ORF41						C10ORF2							PAQR4			LOC90624	
255			MAP3K11										VNN1										RASSF5	SP1						JMJD6		HADHA						SEC23IP							P2RY14			PDCL	
256			ABCF3										DYRK4										C1ORF25	CCDC16						LOC654103		C19ORF52						SCAPER							SLC15A3			LRWD1	
257			OBFC2A										DENND1A										RBX1	C15ORF39						SF3A1		PCMT1						IP6K1							DKFZP761P0423			IKBKE	
258			LOC728635										NTHL1										LIMK2	C12ORF24						FERMT2		DLEU7						LOC645466							ACVRL1			ARAP3	
259			RNF40										UPF1										ABCG1	LARS2						MN1		CREBZF						LOC389203							KHDRBS1			CCNY	
260			PGLS										RRP8										RPL23A	TUBG1						ADCK1		C7ORF50						CDK8							BRF2			C22ORF32	
261			CNOT3										TBX3										HDDC2	ESRRAP2						IL1A		MPRIP						LOC400721							TMEM9B			MFGE8	
262			ITCH										PAPSS2										CLTB	C10ORF125						ING5		TNIP1						AP3M1							GTPBP8			LOC554203	
263			MTHFD2L										SETMAR										LOC400986	IPO5						EREG		PTPRO						FMO6P							PC			EML4	
264			MAT2B										SIP1										EXOSC10	TNFRSF14						SPTY2D1		TMEM132A						R3HCC1							BRI3BP			SLC8A1	
265			OSBPL8										SEC22B										ZNF143	IDH3A						ZNF232		USP34						HSGT1							ZBTB24			CNOT1	
266			CEP57										MSH6										GABARAPL1	RBBP6						LIN54		CTSG						SLAMF8							RAPSN			MT1H	
267			ABHD12										UBL4A										SLC6A13	NUDC						LOC374443		TNFRSF10D						IGFBP2							UPP1			KIAA1370	
268			STRN4										C19ORF2										VSIG4	PAICS						NAMPT		PVR						NAG18							NFE2			PCNT	
269			C1QC										NDUFA4										C7ORF42	NAE1						MAPKAPK2		COL7A1						LOC440345							ZNF254			QPRT	
270			SPAG9										TMEM86B										GPAM	LSM7						UBR1		LOC653513						RPAP3							ATL2			FNTB	
271			DNM2										MRPL30										LOC401357	RBM4						LOC652226		RAB27A						ING4							KCNQ1			PNPLA7	
272			GPR108										STARD7										YIF1A	USP24						ENTPD4		NENF						THOC2							ATP6V0E2			GARNL4	
273			LOC653717										KIAA0586										PRDX6	GNL2						FBXO30		GXYLT1						LOC647436							ZCCHC17			PMM1	
274			GTF2F1										TTC14										BST2	GEMIN4						CCL20		IDH2						CDC2L5							PITPNC1			KLHL26	
275			GORASP1										CLCN6										PPP2R2A	IFRD2						CLDND1		PPA1						CEP290							TMEM60			MT1F	
276			NUDCD3										POR										ADK	MMACHC						SPEN		NAGK						C9ORF90							IFNAR1			MT1G	
277			AGRN										APBB3										NEK7	MFHAS1						FNTA		LOC642946						LOC645362							TRAF2			FZD2	
278			COPE										LOC286016										SKAP2	PAFAH2						PGGT1B		NBN						PSAP							C10ORF46			ADSS	
279			FIP1L1										DICER1										BCL11A	HLA-DOB						PPP3CB		PHF10						LOC649661							HIVEP1			OLR1	
280			NDUFS1										BCAT2										TRIM39	C8ORF33						HAVCR2		SLC9A6						ANKRD13D							LOC283874			GAS2L3	
281			CAPRIN1										TMEM203										FECH	PPIL1						LOC731486		CST3						PRR14							TRIM6			SEC14L1	
282			SH2B1										PILRA										HINT2	CIRBP						SERPINB9		IL1B						FLJ41423							MARCH3			LOC653879	
283			ZNF706										TNFRSF8										ZSCAN16	HSD17B10						IL23A		ZBTB3						MFSD11							C3ORF10			RWDD3	
284			RGS1										GPR175										DUSP16	COL15A1						ACSL4		OSBPL3						CXXC1							PSD4			FARP1	
285			GPSM3										DAGLA										ATP5I	EIF5B						JARID2		LAMB3						CCS							GCNT1			LOC654126	
286			P76										OSGEPL1										MRPS16	MTHFD1L						ALDH3A2		TBC1D9						YTHDF1							HCFC2			RBBP5	
287			AUP1										LOC651738										PSME3	KCNIP3						KRAS		RDH10						C9ORF95							LOC730432			C18ORF1	
288			PSD3										TLN2										LOC643313	CCDC28B						FLJ22662		BAT2D1						INO80B							SNX25			EZH2	
289			TBC1D10B										PLSCR1										RBM14	SNRPD1						GCLM		UBL5						ABTB1							GSPT2			TRAF3IP1	
290			CDK7										NPLOC4										CAPN7	MKI67IP						C17ORF91		LOC652844						CRIPAK							SMYD3			THAP6	
291			ETF1										MYOM2										AHCY	LOC728556						FEM1A		IFI27L2						CCDC45							PDXK			TMEM189-UBE2V1	
292			RREB1										APEX1										EXOC6	TRMT12						SPRED2		TNFRSF6B						LOC647349							GSTT1			NUDT2	
293			C1ORF159										METAP2										DDX28	C12ORF29						WDR52		SLAMF6						GEMIN5							FAM83H			ITPR1	
294			HNRNPL										SERPINB2										PRKCA	SRM						LOC641992		DDIT4						H2AFY2							SOCS4			GSTM2	
295			PYCR2										WDR47										SPRED1	TUFM						C5ORF37		PRR16						AP1S1							ZER1			DGAT1	
296			SASS6										NUPL2										MYH9	TOMM5						TM4SF1		FAM104B						LRRC47							ATP1B3			SLC39A10	
297			DPP9										CBR1										FAM20B	USP33						AP2S1		NBPF1						LEP							EDEM1				
298			C1ORF124										C5ORF54										H1F0	C6ORF111						TRAPPC2		CA12						LOC389517							ELP2				
299			LOC643446										R3HDM1										RSPRY1	ALDH2						DCTN6		SRD5A3						MUDENG							LOC730455				
300			ELOF1										ERAL1										PIN4	PLXNA1						HAGHL		LOC730092						STX12							HBEGF				
301			ANKRD17										ATP5F1										RRM2B	SSR3						SLC7A8		LOC285550						PRPF40A							PHF5A				
302			DHRS4L2										SETD3										FAM126A	CHCHD8						TRAM2		C6ORF52						RYBP							CIITA				
303			SNHG5										DPY19L4										C9ORF164	SP5						TRIP10		SNAI3						LOC652685							LOC648099				
304			RNF5										ACOT7										RPS26L	BRIX1						ATP13A3		PPP1R8						SLC25A34							DYNLT3				
305			ZNF25										RHOBTB3										PXN	RRP7A						PPIF		LRP11						CPSF4							UTP3				
306			VAMP7										HRB										AKAP13	ANKRD16						PPFIA1		C22ORF9						LYPLA1							C14ORF139				
307			VPS33B										PLXNC1										PTTG1IP	ECE2						TJP2		UPB1						MOSPD2							HRASLS3				
308			NEU1										LOC100008589										PHF1	USMG5						NFKBIA		C11ORF82						C5ORF25							SEMA3C				
309			PCIF1										RIC8A										AURKAIP1	NET1						CSF2		EPS8						RNF126							LOC151579				
310			LOC653450										COQ3										ZNF318	DCUN1D3						IL19		WDR7						LOC653080							HADH				
311			CAND1										LAT2										BLM	LOC153684						C1ORF166		KIAA1641						ZUFSP							PAFAH1B3				
312			TMEM123										ANO10										IGHMBP2	PFDN6						HECA		VSTM1						LRRC37B							ZNF12				
313			CLEC11A										NSMCE1										S100A10	FKBP3						RALGAPA1		KIF27						GNPAT							RNF160				
314			DLGAP4										COMTD1										ACAT1	ASB1						ING3		VRK2						RMND1							CORO2A				
315			NOSIP										GTF3C3										ZEB2	AIMP2						SLC16A6		RUFY3						VPS13B							PHYH				
316			BCL7C										IRS2										LOC654042	TSC1						UBE1C		SLAMF1						FLJ45966							PIAS2				
317			AGPAT1										SET										C4ORF27	TUBB3						CCDC127		KCTD21						LOC161527							ATG4C				
318			FASTKD5										DIAPH1										NAGLU	BTG2						EYA3		MRPS6						LOC158301							BCAT1				
319			FAM21A										CHD1L										MTMR11	C12ORF5						GALNT6		C16ORF52						PTPLAD2							FEZ2				
320			ARHGEF11										NAALADL1										N6AMT2	SYCP3						PHF20L1		IFI16						FLJ40722							ERO1LB				
321			LMF2										C21ORF124										ACOT11	MARS2						ZFY		SHRM						SF1							COMMD1				
322			ORAI1										C7ORF57										RPS21	TCP11L1						TMEM101		POFUT2						TIAF1							RCBTB1				
323			RIF1										C3ORF31										SAMM50	NDUFAF2						ZFP82		DVL3						CECR7							TPK1				
324			MRPL2										ARHGAP10										POL3S	LMNB2						GFPT2		SULT2B1						DET1							DHFRL1				
325			ZNF646										C18ORF55										ELAC2	MAK16						KIAA0528		NGFRAP1						PDS5B							KIF20B				
326			TYROBP										LOC731682										NARS2	STAU1						LOC143666		ZKSCAN2						ASPH							SLC41A2				
327			TRIM28										KLHL35										RPL34	POFUT1						LRRC14		TMEM144						RBBP4							EXOC4				
328			YWHAE										SARS2										ZP3	NCL						TOM1		POLE4						TRIM38							DCLRE1B				
329			KCTD2										SLC27A3										HLA-A29.1	BOLA2						BST1		TREML3						TRIM49							CDYL				
330			TMEM184B										GFOD1										HIST1H2BD	GPATCH4						GRINL1A		NSMCE4A						SPCS1							LOC649841				
331			ZNF687										NBPF3										MYST1	SLC25A11						CISH		DOPEY2						LILRB3							CITED2				
332			MGAT4B										RNF138										PRKDC	C21ORF59						IVD		WDR68						EIF2C2							TMED1				
333			PCNXL3										NIPSNAP1										ARPP19	TRMT2B						VEGFA		TM2D3						RBM41							LAT				
334			SKP1A										ZNF197										PHPT1	CMAH						SNTA1		MYL5						DYNLL1							DSN1				
335			GOLGA1										C1ORF149										PDCD6	SNRPG						PTGER2		PSMD9						PSMD13							LOC133185				
336			NAT15										EXTL2										MRPL33	NCOA4						MMP10		NNMT						C2ORF56							ESPL1				
337			MARK2										IMPDH2										LEMD2	MRPS17								AP1S2						ZNF664							HMGB2				
338			PKD1										PLEKHA9										RPS26P11	MAP3K3								ATP6AP2						BTBD3							C20ORF107				
339			AGPAT3										MRPL45										RNASEH2A	HSPE1								SRGN						PRAME							RAB4A				
340			RDH14										BCL3										UBE2N	ZNF473								H6PD						ZNF767							TNFAIP3				
341			CUL5										PTPLAD1										HDHD2	ZNF134								LOC652726						TTC8							GOLGA2				
342			BMPR1A										FAM26C										C6ORF59	C12ORF45								HNRPH1						WDR59							AGTRAP				
343			INTS6										CCNH										RORA	KIAA1826								CCDC104						CXORF12							C10ORF128				
344			MAN2C1										MTMR3										SAMD4B	PPAN								C4ORF41						C18ORF10							LOC652184				
345			MAEA										KHSRP										VRK1	HIBCH								ACTL7B						SMC3							SH3YL1				
346			C9ORF86										HSP90AA1										C20ORF177	SNX27								SLC5A3						TSSC4							GABARAPL2				
347			SPI1										CS										RAB6B	SFMBT2								NSDHL						TMEM41A							ZNF77				
348			ALG11										SERBP1										ANKRD10	CCDC76								ANAPC11						NUP35							CD82				
349			HS1BP3										DOCK1										WDR92	EMG1								DTX2						LOC440348							PIK3C2B				
350			PKM2										NDUFAB1										ZFYVE27	PDCD5								RABGEF1						ORC6L							C2ORF79				
351			BAT1										HIBADH										PTGIR	PI15								BRP44						FARSLB							NFAT5				
352			C6ORF160										GTF2H1										TM7SF3	MPHOSPH10								ARRDC4						FLJ38717							NUDT16				
353			ARF3										ELP3										RPS26	EBNA1BP2								CHST15						UBXN2A							MIF4GD				
354			C2ORF18										PGS1										GLRX5	PIGW								LRRFIP2						SLC35C1							C3ORF1				
355			FAF2										SERPINB7										UHRF1BP1L	PAPD1								CITED4						HLTF							ALKBH6				
356			CLPTM1										DBR1										DMTF1	ZNF274								IFRD1						SLC20A1							BPNT1				
357			NUP107										VNN3										PARK7	LTV1								MYO9A						SNAPC1							SS18L2				
358			TSC2										ABHD10										LOC650646	SNORD21								TUBA1A						KIAA1530							PCBP4				
359			KPNA3										SAP30BP										THAP7	RANBP1								PREPL						RDH5							FXR2				
360			FBXL10										CCDC51										ABCB6	KIAA0174								RAB13						ZNF669							LOC93622				
361			LOC440341										CTNNB1										SSBP1	C7ORF47								G0S2						TMEM1							NTAN1				
362			FMNL1										AKAP1										ZDHHC19	EIF2S2								RNF144B						KIF2A							TARBP2				
363			FAM108A3										LOC642082										MANBA	COL6A1								CLN3						LOC641978							FBS1				
364			C7ORF20										FH										HIPK3	ST8SIA4								DOCK11						LOC732172							ENPP4				
365			ATP11B										SNW1										FARS2	CCDC117								CCDC112						SHCBP1							PLCG2				
366			RNPC3										EGR3										PCMTD1	CBFB								TUBA1B						CTTNBP2NL							SEC23A				
367			RAB5A										MEGF9										FOXRED1	DCTPP1								LIPA						CNOT7							ECHDC3				
368			ARF5										NIF3L1										RPA2	CCDC86								SLC39A3						ZGPAT							SDC4				
369			DCAF15										SERPINB8										NCK2	ERP44								EIF1B						IL10							PMPCA				
370			DAXX										KIAA0913										HMGN4	ARHGAP25								HMGXB4						YIPF3							SPG20				
371			FAM195B										C8ORF59										TBC1D9B	TFB1M								STAMBPL1						LOC729446							WDR49				
372			C11ORF57										LOC646144										ZCCHC6	CIC								RASGRP1						ITIH5							ROGDI				
373			APH1A										PDE4DIP										GGPS1	MTERF								FAM12A						LOC644852							CCDC92				
374			PIH1D1										RUNX1										MICALCL	POP1								KIAA1522						ROCK2							LOC54103				
375			RAB5C										RER1										C7ORF53	TCP1								LOC728715						UNC119							ECHDC2				
376			MAF1										VNN2										SRGAP1	BEND3								PCYT2						CTAGE5							C19ORF22				
377			LOC728734										PTK2										NHP2L1	MRPL36								FAM118B						PPP2R1B							FTHL11				
378			C1QA										PDXP										TTYH2	KCTD15								LRRC8D						BTF3L4							MAN1C1				
379			SCAND1										SLC9A8										YARS2	CCT2								TREM1						DPP7							THG1L				
380			LPPR2										CANT1										NSUN3	MRPL24								RAB3IP						FRYL							HERPUD1				
381			LOC642255										EXOSC1										CHP	PPP3R1								TDRD9						AHR							FCGBP				
382			DDX23										SDAD1										NDUFB3	IER5L								SDHC						ZNF763							KLHL5				
383			GATAD2B										PCCB										BRSK1	HEATR2								FBXW5						CNNM3							PER3				
384			CYBA										CHI3L2										C10ORF28	RAD21								LOC652675						IKZF2							AGL				
385			ZRANB2										POGK										PSMA2	RAB5B								TBC1D3G						C14ORF102							APOBEC3F				
386			POLR2B										FKRP										SNRPF	PTER								ABTB2						C19ORF31							HP1BP3				
387			FCER1G										LRRC58										LOC646463	PPM1G								BCL2L2						LOC650737							RNF167				
388			PHC2										SEMA4B										GNLY	ARID3B								ADCY7						TAOK1							ZNF509				
389			BRE										RPL26										FLJ20309	PPM1A								TMEM167B						DKFZP686I15217							PIWIL4				
390			INO80E										METAP1										RNASEN	DTWD1								SFRS13B						GON4L							ALKBH8				
391			C16ORF56										NUDT16L1										H1FX	PUS1								SELM						CDKAL1							CT45A4				
392			ACIN1										SFXN4										TMTC4	FAR2								B4GALT1						TJAP1							C20ORF72				
393			FAM134A										DUSP26										UNC93B1	DDX54								NADK						ASXL2							SRA1				
394			ZDHHC12										MDH1										GYG1	TROVE2								MCTP1						VEZF1							MTMR12				
395			WDR51B										C3ORF23										C12ORF4	THOP1								ASTE1						LOC401622							OSBPL5				
396			VPS26										ARV1										LOC728518	WDR12								CLEC4E						RNF213							COX15				
397			LENG8										C10ORF78										LOC728006	NKRF								FAS						LOC196752							COASY				
398			PLEC1										CDV3										C5ORF41	ASAH1								TBC1D10C						NCOA3							SNORA25				
399			C1ORF52										ADPRHL2										RAP1A	RNF126P1								TXLNA						CETN3							PAOX				
400			PHF12										CRK										NKAP	KCNG2								TMEM70						TOP3B							LOC653874				
401			STXBP2										SSH1										ATP5L	BBX								B4GALT4						SPIN1							BPHL				
402			BAT2										BCAR3										KRT10	NSUN2								ZBTB17						DYNC1I2							FMNL2				
403			CUEDC2										C12ORF30										HNRPDL	NMB								LOC400027						TNFRSF12A							GLOD4				
404			ARHGEF1										DNPEP										QPCTL	C14ORF156								C1RL						FZD7							ARF1				
405			APLP2										RPL14										TRAF6	C6ORF125								CHMP4B						PIGB							TADA3				
406			GLYCTK										FAM21B										CRELD1	ECH1								CACNA2D4						YY1							MTA2				
407			ATXN7L3										CARD16										ABI2	ILVBL														C20ORF20							ZNF23				
408			LRP1										RG9MTD1										SMCHD1	RPN2														RPS6KB2							POLR2C				
409			C5ORF5										GALM										AKIRIN1	KRCC1														ATP6V1B2							STX4				
410			CTSA										ZNF93										MPHOSPH8	HBP1														PRKRIP1							HIP1				
411			MID1IP1										IL10RB										TACO1	BAT3														AKR1D1							CBFA2T2				
412			BAT5										TAX1BP3										LOC642780	COPS7A														RAN							KIF16B				
413			CPEB2										PVRL2										CLUAP1	EIF4E														LOC642678							LRBA				
414			LRPAP1										PLEKHG2										C11ORF51	C1GALT1C1														FGA							ZNF256				
415			RANBP10										TCERG1										ASB13	LIPT1														PCGF6							FAM48A				
416			C1ORF66										LEPROT										COX6C	HADH2														HIST1H2BJ							TES				
417			HNRPH3										CDKN2D										CYGB	LOC653377														YY1AP1							TLE1				
418			VPS37B										ANKMY2										ENOPH1	CCT7														FBXO22							GMFG				
419			USP48										PCDHGB6										ETFA	C1ORF19														FAM153B							NAF1				
420			MATR3										CXCL2										CCDC72	LOC642299														DNAJC19							TAF2				
421			CHMP1A										ZNF484										FAM49A	LYAR														PDE4C							FTHL12				
422			TMEM55B										FLOT1										AP3D1	RPS7														ZNF266							ZNF326				
423			PACS2										MRPL1										CCDC43	ACAA2														SPG7							JRKL				
424			FAM100A										LYN										GADD45A	HSPH1														GAK							TTF1				
425			MGRN1										EXOSC6										C1ORF38	NAT10														CHD8							ZNF544				
426			COMMD4										HIRIP3										HSPA14	PCBP1														LOC651575							C6ORF57				
427			PAPD4										IFNA8										DTD1	LOC205251														NUDT15							ZNF124				
428			TOPBP1										IL1R2										SNORD14A	ARID3A														TTC37							SMG5				
429			SHKBP1										RABEPK										GADD45G	TIMM23														ZFP36L1							HIAT1				
430			SPTLC1																				OGT	CCDC138														TFAP2A							ZNF642				
431			NFIL3																				ANKRD36B	PRKCQ														DUXAP3							MCFD2				
432			FBXO28																				HARS	RRP15														MED27							LRP3				
433			KPNA6																				GP1BA	CHMP1B														MGC12760							GPR84				
434			PKN1																				GGCX	PHB														CSAD							MEX3B				
435			LARP1B																				GIMAP1	C14ORF80														EIF5AL1							BAIAP2				
436			C7ORF55																				CDKN1B	CCDC28A														ADAMTS19							LOC728069				
437			TAF4																				DHX38	CSE1L														DNAH1							PXMP2				
438			C11ORF10																				BCL6	ZNF230														ZNF660							DPY30				
439			HLA-DRB4																				STARD10	SF3B1														LRIG2							IGSF6				
440			LTBR																				TSPYL2	C14ORF21														RPP38							TM7SF2				
441			C19ORF29																				CARKD	GPC6														MARCH5							CD44				
442			MAP1S																				ZBTB47	LOC391811														BRCC3							VPS37D				
443			GLUL																				LTA	LOC728653														RCOR3							TPM1				
444			TRAF7																				MARK3	NOLC1														ENDOG							TRAF3IP2				
445			C14ORF138																				SNORA7B	MRPS18A														DKFZP434K191							ABCD3				
446			POLD3																				WDR82	NXT1														OSBPL2							KRT17				
447			CXORF39																				ZDHHC17	SERINC3														GMEB2							SLC22A4				
448			KIAA0251																				STS-1	RTN4IP1														ZADH2							ZNF285A				
449			RFXANK																				C14ORF112	DOLPP1														VAPA							IRF5				
450			RETSAT																				MRPS7	PSCD4														NFATC2IP							KREMEN2				
451			TSC22D4																				SIGLEC16	ZNF280C														SRRD							S100A4				
452			ZNF692																				ZBTB5	LOC729843														GPR1							FTH1				
453			MRFAP1																				TYW3	SNRPA1														DENND1C							MEI1				
454			PRKRA																				ATXN10	ARMCX5														AIRE							ZNF791				
455			DGCR2																				KIAA0907	RPAP2														DHX57							SCN9A				
456			PHAX																				UBE2O	UTP11L														LOC339804							RILPL2				
457			ACY1																				C1ORF71	C8ORF38														UBN2							DFNA5				
458			MLF2																				PXK	RFX5														POLR2J4							COG3				
459			OS9																				EDG4	CIB1														PIGQ							EIF5				
460			CHM																				EIF4A3	NOP58														MAP6D1							GPX4				
461			TTC32																				TRAK2	TNPO3														LOC646135							ADAMDEC1				
462			PCGF1																				RNGTT	MTG1														FCGR3B							CDCA7L				
463			MTMR9																				LOC642197	WDR74														DDX17							FLJ10081				
464			C14ORF133																				TMEM79	HINFP														FAM118A							C4ORF33				
465			ZFP106																				LSM3	ANAPC1														C6ORF170							MAP3K6				
466			SUPT6H																				WIPI1	TOMM70A														SRRM2							TRAPPC6A				
467			CHMP2B																				EGFLAM	ATP9B														SLC5A8							PLAUR				
468			GPATCH3																				JAK1	EI24														C21ORF55							NDST1				
469			WIBG																				PDRG1	C1QBP														RPL7L1							VEGFB				
470			GTF3C1																				MYB	MRTO4														INTS1							MEP1A				
471			TECR																				CHTF18	KIAA0495														ABCF1							OSBPL1A				
472			UBR4																				TBC1D3B	LOC729101														RAD50							NUP43				
473			TMUB1																				ASH2L	MRPL27														LILRB1							BNIP3				
474			SFRS10																				CHMP4A	THUMPD3														LOC653073							FTHL2				
475			FBXL3																				LSM5	RCL1														DPRXP4							USP11				
476			RBM23																				DNAJB2	CSTA														PLA2G2D							KCTD10				
477			SNX14																				AARSD1	TMEM159														OCIAD1							FTHL8				
478			C19ORF43																				TRIAP1	PLEKHB2														RPP21							LOC143543				
479			IDH3G																				VKORC1	EIF2S1														IMPACT							FTHL3				
480			FTSJD1																				UCRC	TRDMT1														LOC648490							FBN2				
481			TCTEX1D2																				ICT1	PGAM5														ZNF557							CACNA1B				
482			GAS2L1																				ENOX2	SRFBP1														OVGP1							AGAP3				
483			GPAA1																				DECR2	MRPS27														KLHL36							LZTFL1				
484			UBE1																				LCLAT1	HRAS														CCR6							HNRNPF				
485			USP10																				KCTD12	RUNDC1														RNF219							BAG4				
486			PTMS																				ZNF189	FBXO34														GAS8							SLC3A2				
487			GTF2IP1																				C14ORF147	C9ORF66														PURG							ATPAF1				
488			LOC255620																				LOC88523	CYCS														RN7SL1							FRMD4B				
489			POLR3F																				C2ORF34	NOLA1														DHX8							SPPL2A				
490			STUB1																				SMC6	SEH1L														ZNF486							BTG3				
491			VAMP2																				TLK2	PDIK1L														NFU1							ADM				
492			SYNJ1																				CSRP2BP	HLA-DRB1														MYO18A							CLCF1				
493			LYPLA2																				PHLPP2	RAB11FIP1														SCNN1D							DOM3Z				
494			PTS																				GLB1L	NUP205														WBP1							SCAMP4				
495			ARHGAP21																				PPWD1	ENO3														VASP							C9ORF30				
496			C9ORF23																				METTL5	PAK4														NOTCH1							ATG4B				
497			FUBP3																				RBM3	KIAA0090														SLC26A6							SLC11A1				
498			DULLARD																				BSDC1	STOML2														LOC649555							OXSR1				
499			UBLCP1																				BMP1	FUS														SAPS2							Sep-09				
500			RIN3																				AP3S2	REXO4														E4F1							LOC728689				
501			VPS18																				LOC387820	PNO1														GSDMD							SUV39H1				
502			UNC13D																				WNK1	DHX33														LOC649604							TCEB2				
503			NDUFV1																				TOMM22	MRPL14														CIAPIN1							DHX34				
504			ATXN2L																				CROT	GNG5														MCM8							LPAR5				
505			GNA11																				H2AFY	RPF2														GSN							PRKACB				
506			SH3TC1																				KIAA1407	MRPS11														LOC644131							TIMP1				
507			RAVER1																				SLAMF9	RBM28														DIP2A							HELQ				
508			AES																				CNOT4	SLC25A12														WDR73							LANCL1				
509			CXORF40B																				HECTD1	ZNF193														LOC649044							MTF1				
510			C9ORF78																				FLJ20718	MRPS10														EVI5							C15ORF21				
511			TRPC4AP																				MARCO	ACTL6A														LIME1							NFKB2				
512			TUSC2																				LOC389137	ZNF182														BRD1											
513			JOSD2																				RABGAP1L	PTCD2														ZNF787											
514			SIRT7																				DDHD2	LOC649143														LOC731950											
515			FAM134B																				DHRS3	SDCCAG10														ANKRD30B											
516			SFXN1																				DHPS	LASP1														RUNDC2C											
517			GTF3C5																				MRPS33	EXOSC9														N4BP2											
518			GNB2																				ATP5C1	KLHL3														SAFB2											
519			RSBN1L																				LOC286208	SETD2														LEF1											
520			FURIN																				NOL3	EPOR														MLL5											
521			RYK																				C11ORF54	FAM86A														MST4											
522			MAPRE3																				UNKL	LOC654189														C10ORF61											
523			ZBTB33																				SNX24	NIP7														GSTTP2											
524			ERGIC3																				ABLIM1	C6ORF66														ZNF383											
525			LIX1L																				CCDC146	LOC651309														LOC728888											
526			C1ORF128																				TMF1	TNFAIP8L3														SIVA											
527			PTPN23																				DNAJC25-GNG10	MRPL13														KRR1											
528			ATP6V0D1																				GEMIN6	EEF1E1														TGFBRAP1											
529			SLC25A1																				HAGH	NOB1														FAM115A											
530			LOC731999																				TBX19	SLC25A15														KLHL8											
531			PNPLA2																				CFLAR	PUF60														IKZF4											
532			HACL1																				SLC25A3	HSDL1														PHC1											
533			MALT1																				CSF2RB	FOXO4														ZZEF1											
534			IMPA1																				YTHDC2	TMEM192														APAF1											
535			DUSP2																				STX5	NME2														LAIR1											
536			TIPARP																				GGT1	BUD13														PPIC											
537			ARSA																				TMEM216	PWP1														FASTKD3											
538			STRBP																				BTBD6	FAM131A														WDR23											
539			RINT1																				MRPS9	GGA3														TRIM52											
540			OSBP																				CYTH1	ZDHHC9														PPIA											
541			PLXNB2																				NUDT6	NARG1														HGS											
542			CDC42BPB																				LOC728226	OGFRL1														TBL1XR1											
543			PRKAB2																				ARNT2	SUPV3L1														CDC2L2											
544			TAOK2																				RNF34	FPR3														USP36											
545			MORF4L1																				ELP4	AMMECR1														LOC650128											
546			RFWD3																				FAM193A	NPIP														LOC653086											
547			PGRMC2																				ZNF384	COTL1														TARSL2											
548			ADNP																				CLIP4	PTPN2														FKTN											
549			PURB																				DOLK	RBM5														FAM39DP											
550			PPP1CA																				WDR48	SERINC2														CDAN1											
551			B3GAT3																				FLJ38482	TXNDC14														CDC2L6											
552			TRAK1																				BIN1	IP6K2														DFFA											
553			STK35																				RAD51C	MRPL17														GABARAP											
554			C16ORF87																				CTCF	C15ORF17														SULT1A1											
555			CDC2L1																				B3GALNT2	SFRS17A														CRNKL1											
556			ZNF580																				MFF	PAPOLG														UTP18											
557			SYMPK																				LOC388681	SLC25A17														SHQ1											
558			LOC440354																				C21ORF51	PIGU														FBXO18											
559			MRPL28																				MAP2K1	TMEM5														TSHZ3											
560			C1ORF86																				ACN9	CIRH1A														LOC730316											
561			WDR44																				NUDT5	N6AMT1														NLRP8											
562			LRRC33																				CEP192	REPS1														DMC1											
563																							ABCA1	IRAK4														BRD2											
564																							GMDS	COX4NB														LOC653635											
565																							NDUFB2	SMAP2														IL17RD											
566																							WDR18	RABL2A														FAM39E											
567																							TNRC6A	RAE1														VPS29											
568																							CWF19L2	MYO19														DCUN1D5											
569																							LIN37	SLC20A2														SLC44A4											
570																							CNDP2	PUM2														FAM177A1											
571																							GTF2H5	ATIC														FLJ12078											
572																							C20ORF117	HLA-DRB5														USP7											
573																							RAB12	ITPKB														ILF2											
574																							ATP7A	LSM8														LOC649422											
575																							LOC442454	PPP1R2														CD19											
576																							MRPL43	C11ORF48														EIF2AK4											
577																							MSI2	C2ORF7														LOC441511											
578																							IGSF2	ZC3H7A														ATG10											
579																							MLL3	SYTL3														PPARBP											
580																							SPATA2	MRPL47														SPRYD4											
581																							ZCCHC8	NHP2														C9ORF130											
582																							TRIP12	CRLS1														SKI											
583																							RBM12B	CLCN5														WHAMM											
584																							ECHS1	PMEPA1														PSPH											
585																							PRPF19	ZZZ3														PCDHB9											
586																							LOC653147	LOC732371														LDHA											
587																							SAP18	SNORD100														MRPL46											
588																							AKNA	ORC5L														ZNF655											
589																							SF3B4	PPIL5														SNORD31											
590																							LOC649580	IVNS1ABP														PDCD7											
591																							LOC727948	NCBP1														LRRC40											
592																							CARS2	FAHD1														RPRD1A											
593																							LRRC57	PRELID1														EHHADH											
594																							FLJ45422	FLJ45032														RN7SK											
595																							HERC4	C3ORF26														LOC652481											
596																							ZFAND1	RNF24														ZNF446											
597																							CNOT6	IPO11														SLC4A5											
598																							TMEM14A	ZNF593														MGC40489											
599																							MGC3196	PIGG														SLC39A9											
600																							HNMT	NBPF10														VRK3											
601																							CPSF3	ZNF250														ZRANB1											
602																							TMEM118	SESN3														CHCHD3											
603																							TIMM8B	HDAC6														FKBP11											
604																							MUTYH	ALG2														MRC1											
